id;category;title;graph_state;conversation;expected_tools;current_outcome;current_reason;expected_outcome;expected_reply;notes;verdict;should_instead
NAME-01;name-variance;Exact title match — the only path that adopts today, and it does so silently;unowned swept: 'CIRCUIT PALE + VELDT RUNNER' @ Ziggy Club (Torino), 2026-09-25 date-only (00:00), source=admin_search, ticket_url=dice.fm/e/cp925;user: [foto volantino] || tool: ingest(photo)->text: 'CIRCUIT PALE + VELDT RUNNER / Ziggy Club Torino / ven 25.09 / porte 22:00 / 12€' || assistant: Letto: Circuit Pale e Veldt Runner, 25/09 ore 22, 12€ al Ziggy. Qual è il titolo esatto? || user: il titolo è proprio 'CIRCUIT PALE + VELDT RUNNER' || tool: POST /api/publish{name='CIRCUIT PALE + VELDT RUNNER', venue_uid=ziggy} -> 200 adopted uid=ev_sw01 || assistant: Pubblicato!;ingest(photo)->text | extract->form.extracted(name=EMPTY, artists=[Circuit Pale, Veldt Runner], start_at=2026-09-25T22:00, price_min=12) | chat sets name='CIRCUIT PALE + VELDT RUNNER' | POST /api/publish{draft, venue_uid=ziggy};adopted;"name_norm, venue name_norm and calendar date all equal -> probe hits; unowned + pro_submission -> adopt (silently)";surface the swept row and confirm it is the same event, then adopt: promoter's 22:00 and 12€ win, swept ticket_url kept;This looks like 'CIRCUIT PALE + VELDT RUNNER' already listed at Ziggy Club on 25/09 — same event? Confirmed: the listing is now yours, your time and price applied, ticket link kept.;;;
NAME-02;name-variance;Case-only difference — norm lowercases, so it still adopts;unowned swept: 'Velvet Mirrors + Low Tide Cinema' @ Quasimodo (Berlin), 2026-10-09 date-only, source=admin_search, source_url=quasimodo.de/programm;user: flyer attached [photo] || tool: ingest(photo)->text: 'VELVET MIRRORS + LOW TIDE CINEMA — QUASIMODO BERLIN — FR 09.10. — 20:30 — 14€' || assistant: Got it — is the all-caps line the official title? || user: yes, keep it exactly as on the flyer || tool: POST /api/publish{name='VELVET MIRRORS + LOW TIDE CINEMA', venue_uid=quasimodo} -> 200 adopted uid=ev_sw02 || assistant: Published.;ingest(photo)->text | extract->form.extracted(name=EMPTY, artists=[Velvet Mirrors, Low Tide Cinema], start_at=2026-10-09T20:30, price_min=14) | chat sets name='VELVET MIRRORS + LOW TIDE CINEMA' | POST /api/publish{draft, venue_uid=quasimodo};adopted;"norm lowercases -> all-caps vs mixed case normalizes equal, probe hits; unowned + pro_submission -> adopt";surface the swept row, confirm same, then adopt — promoter's 20:30 replaces the 00:00 placeholder, source_url kept;Found this night already swept from quasimodo.de — same show? Confirmed: you now own it and your 20:30 start replaces the placeholder time.;;;
NAME-03;name-variance;Diacritics-only difference — norm strips accents, adopts;unowned swept: 'Peña Nocturna: Río Cometa' @ Movistar Arena (Madrid), 2026-11-14 date-only, source=admin_search, ticket_url=movistararena.es/e/pn1114;user: publica: Pena Nocturna: Rio Cometa, Movistar Arena Madrid, 14 nov 21:00, desde 25€ || assistant: ¿Confirmo Río Cometa, 14/11 a las 21:00, desde 25€ en el Movistar Arena? || user: sí, publica || tool: POST /api/publish{name='Pena Nocturna: Rio Cometa', venue_uid=movistar} -> 200 adopted uid=ev_sw03 || assistant: Publicado.;extract(chat)->form.extracted(name='Pena Nocturna: Rio Cometa', artists=[Rio Cometa], start_at=2026-11-14T21:00, price_min=25) | POST /api/publish{draft, venue_uid=movistar};adopted;"norm strips diacritics: 'peña nocturna: río cometa' == 'pena nocturna: rio cometa' -> probe hits; unowned -> adopt";surface the accented swept row, confirm same, adopt — keep the accented title as canonical unless the promoter objects;This matches 'Peña Nocturna: Río Cometa' already listed for 14/11 — same event? Confirmed: it's yours now, accents kept from the original listing, ticket link preserved.;;;
NAME-04;name-variance;Reordered bands ('B + A') — word order is significant, probe misses;unowned swept: 'KALT GESTIRN + MONUMENTA' @ Quasimodo (Berlin), 2026-10-16 date-only, source=admin_search, ticket_url=ra.co/events/kg1016;user: [flyer photo] || tool: ingest(photo)->text: 'MONUMENTA + KALT GESTIRN / Quasimodo / 16.10 / 21:00 / 13€' || assistant: Is 'Monumenta + Kalt Gestirn' the official title? || user: yes, that's our billing order || tool: POST /api/publish{name='Monumenta + Kalt Gestirn', venue_uid=quasimodo} -> 201 created uid=ev_new04 || assistant: Published!;ingest(photo)->text | extract->form.extracted(name=EMPTY, artists=[Monumenta, Kalt Gestirn], start_at=2026-10-16T21:00, price_min=13) | chat sets name='Monumenta + Kalt Gestirn' | POST /api/publish{draft, venue_uid=quasimodo};created_duplicate;word order significant in norm: 'monumenta + kalt gestirn' != 'kalt gestirn + monumenta' -> probe misses -> fresh uid beside the swept row;"identical artist set + same venue + same date -> surface the swept row; on confirm adopt, keeping the promoter's billing order in the name";The same two bands are already listed that night at Quasimodo under reversed billing — same show? Confirmed: it becomes yours with your billing order.;;;
NAME-05;name-variance;Separator variant '&' vs '+' — punctuation survives norm, silent duplicate;unowned swept: 'KAIRO DUST + PALE ORBIT' @ Ziggy Club (Torino), 2026-09-26 date-only, source=admin_search, ticket_url=fb.me/kd926;user: [foto] || tool: ingest(photo)->text: 'KAIRO DUST & PALE ORBIT — Ziggy Club — sab 26/09 — 22:30 — 15€' || assistant: Titolo 'Kairo Dust & Pale Orbit', 26/09 ore 22:30, 15€ al Ziggy — pubblico? || user: vai || tool: POST /api/publish{name='Kairo Dust & Pale Orbit', venue_uid=ziggy} -> 201 created uid=ev_new05 || assistant: Pubblicato.;ingest(photo)->text | extract->form.extracted(name=EMPTY, artists=[Kairo Dust, Pale Orbit], start_at=2026-09-26T22:30, price_min=15) | chat sets name='Kairo Dust & Pale Orbit' | POST /api/publish{draft, venue_uid=ziggy};created_duplicate;punctuation significant in norm: '&' != '+' -> probe misses -> near-duplicate created silently;same artist pair, venue and date -> surface the '+' version, confirm same, adopt;'Kairo Dust + Pale Orbit' is already listed at the Ziggy that night (swept from Facebook) — same concert? Confirmed: adopted as yours, the fb ticket link kept.;;;
NAME-06;name-variance;Separator variant Spanish 'y' vs '+' — separator word breaks the match;unowned swept: 'LUZ NEGRA + HERMANO FANTASMA' @ Movistar Arena (Madrid), 2026-10-23 date-only, source=admin_search, ticket_url=proticketing.com/ln1023;user: [cartel adjunto] || tool: ingest(photo)->text: 'LUZ NEGRA Y HERMANO FANTASMA / Movistar Arena / 23 OCT / 20:00 / desde 28€' || assistant: ¿El título es 'Luz Negra y Hermano Fantasma'? || user: correcto, publícalo || tool: POST /api/publish{name='Luz Negra y Hermano Fantasma', venue_uid=movistar} -> 201 created uid=ev_new06 || assistant: Publicado.;ingest(photo)->text | extract->form.extracted(name=EMPTY, artists=[Luz Negra, Hermano Fantasma], start_at=2026-10-23T20:00, price_min=28) | chat sets name='Luz Negra y Hermano Fantasma' | POST /api/publish{draft, venue_uid=movistar};created_duplicate;separator word differs after norm: ' y ' != ' + ' -> probe misses -> second copy of the night;"same two artists, same arena, same day -> surface candidate; confirm -> adopt; if the user says different, ask what differs and re-check";Esto parece 'LUZ NEGRA + HERMANO FANTASMA' ya listado el 23/10 en el Movistar Arena — ¿es el mismo concierto? Si lo confirmas, pasa a ser tuyo.;;;
NAME-07;name-variance;Appended noise: 'Live' plus tour name after the band name;unowned swept: 'GRIS MARINA' @ Quasimodo (Berlin), 2026-10-02 date-only, source=admin_search, ticket_url=eventim.de/gm1002;user: here's our flyer [photo] || tool: ingest(photo)->text: 'GRIS MARINA LIVE — NORDLICHT TOUR 2026 / Quasimodo Berlin / 02.10 / 20:00 / 16€' || assistant: Title 'Gris Marina Live — Nordlicht Tour 2026', Oct 2 at 20:00, 16€ — publish? || user: yes go ahead || tool: POST /api/publish{name='Gris Marina Live — Nordlicht Tour 2026', venue_uid=quasimodo} -> 201 created uid=ev_new07 || assistant: Done, published.;ingest(photo)->text | extract->form.extracted(name='Gris Marina Live — Nordlicht Tour 2026', artists=[Gris Marina], start_at=2026-10-02T20:00, price_min=16) | POST /api/publish{draft, venue_uid=quasimodo};created_duplicate;appended 'live — nordlicht tour 2026' changes name_norm -> probe misses the bare 'gris marina' row;"name shares its head with the swept row, same artist/venue/date -> surface; confirm -> adopt, keeping the fuller tour title";Gris Marina already has a swept listing at Quasimodo on Oct 2 — same show? Confirmed: it's yours now under your tour title, the eventim link kept.;;;
NAME-08;name-variance;Prefix noise: 'Concerto: ' in front of the swept title;unowned swept: 'I CANI DEL PORTO' @ Ziggy Club (Torino), 2026-11-06 date-only, source=admin_search, source_url=guidatorino.com/eventi;user: pubblica dal volantino [foto] || tool: ingest(photo)->text: 'CONCERTO: I CANI DEL PORTO / Ziggy Club / ven 6 nov / ore 21:30 / 10€' || assistant: Titolo 'Concerto: I Cani del Porto', 6/11 ore 21:30, 10€ — confermi? || user: sì || tool: POST /api/publish{name='Concerto: I Cani del Porto', venue_uid=ziggy} -> 201 created uid=ev_new08 || assistant: Pubblicato!;ingest(photo)->text | extract->form.extracted(name='Concerto: I Cani del Porto', artists=[I Cani del Porto], start_at=2026-11-06T21:30, price_min=10) | POST /api/publish{draft, venue_uid=ziggy};created_duplicate;'concerto: ' prefix survives norm -> name_norm differs from 'i cani del porto' -> miss;"contained-name match + same venue/date -> surface the swept row; confirm -> adopt (drop or keep the generic prefix, promoter's call)";"Sembra 'I CANI DEL PORTO' già in lista al Ziggy il 6/11 — è lo stesso concerto? Se confermi diventa tuo; se è diverso dimmi cosa cambia.";;;
NAME-09;name-variance;Title in a different language than the swept listing;unowned swept: 'Serata Oscura con Neon Kasbah' @ Ziggy Club (Torino), 2026-10-30 date-only, source=admin_search, source_url=guidatorino.com/halloween;user: publish our Halloween show: 'Dark Night with Neon Kasbah', Ziggy Club Torino, Oct 30, 22:00, 12€ || assistant: 'Dark Night with Neon Kasbah', Oct 30 at Ziggy Club, from 12€ — confirm? || user: confirm || tool: POST /api/publish{name='Dark Night with Neon Kasbah', venue_uid=ziggy} -> 201 created uid=ev_new09 || assistant: Published.;extract(chat)->form.extracted(name='Dark Night with Neon Kasbah', artists=[Neon Kasbah], start_at=2026-10-30T22:00, price_min=12) | POST /api/publish{draft, venue_uid=ziggy};created_duplicate;translated title shares no name_norm with the Italian one -> probe misses despite same artist, venue and date;"artist Neon Kasbah overlaps the Italian-titled swept row, same venue+date -> surface; confirm -> adopt under the promoter's English title";There's already 'Serata Oscura con Neon Kasbah' listed at Ziggy Club that night — same event in Italian? Confirmed: adopted under your English title.;;;
NAME-10;name-variance;Nameless flyer -> derived name (the 2026-09-12 incident replay);unowned swept: 'THEN COMES SILENCE + THE FOREIGN RESORT' @ Ziggy Club (Torino), 2026-09-18 date-only, source=admin_search, ticket_url=fb.me/x;user: [foto volantino] || tool: ingest(photo)->text: 'THEN COMES SILENCE + THE FOREIGN RESORT / ZIGGY CLUB TORINO / 18.09.2026 / h22 / 15€' || tool: extract->form.extracted(name=EMPTY, artists=[Then Comes Silence, The Foreign Resort], start_at=2026-09-18T22:00, price_min=15) || assistant: Trovato: Then Comes Silence e The Foreign Resort, 18/09 ore 22, 15€ — pubblico? || user: sì grazie || tool: POST /api/publish{draft, venue_uid=ziggy} -> 201 created uid=ev_new10 name='Then Comes Silence live at Ziggy Club' || assistant: Pubblicato.;ingest(photo)->text | extract->form.extracted(name=EMPTY, artists=[Then Comes Silence, The Foreign Resort], start_at=2026-09-18T22:00, price_min=15) | POST /api/publish{draft, venue_uid=ziggy};created_duplicate;"empty name -> writer derives 'Then Comes Silence live at Ziggy Club'; its norm != swept lineup title -> probe misses (the 2026-09-12 incident)";"both artists match the swept row exactly, same venue+date -> surface before deriving any name; confirm -> adopt, keeping the full lineup title";Questa serata sembra già in lista: 'THEN COMES SILENCE + THE FOREIGN RESORT' al Ziggy il 18/09 — è la stessa? Se sì la prendi in gestione, col link biglietti già presente.;;;
